"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Cardona Quintero, F.A.; Lasso Silva, E.R.","Cardona Quintero, Fernán Alonso (59479484500); Lasso Silva, Edel Rocío (59479123700)","59479484500; 59479123700","Business dynamism in contexts of armed conflict in Colombia: a multidimensional approach; Dinamismo empresarial en contextos de conflicto armado en Colombia: un enfoque multidimensional","2025","European Public and Social Innovation Review","10","","","","","0","10.31637/epsir-2025-1761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212521163&doi=10.31637%2Fepsir-2025-1761&partnerID=40&md5=da07eca66ae3cdb774901d1ecf4fbbab","Introduction: The armed conflict in Colombia has affected social, economic and environmental development in several regions, negatively impacting investment, growth and local welfare. The signing of the Peace Accord in 2016 implemented public policies, including tax incentives for companies operating in the Zones Most Affected by the Conflict (ZOMAC). Methodology: The research used a mixed methodology, combining descriptive and inferential statistical analysis. An unsupervised model was used, applying data mining and CRISP-DM methodology to analyse the data. Results: A significant correlation was identified between economic and social variables in the ZOMACs, highlighting the importance of addressing poverty, unemployment and inequality to promote equitable and sustainable development in these regions. The public policies implemented have been key to this process, but their evaluation and adjustment are necessary to maximise their benefits. Discussion: The analysis shows that enterprises in ZOMACs are crucial for economic reactivation, job creation and peacebuilding in areas affected by the armed conflict. Conclusions: The study concludes that it is essential to continue supporting business development in ZOMACs to foster sustainable economic growth, contributing to the stability and well-being of affected communities. © 2025, HISIN (History of Information Systems). All rights reserved.","armed conflict; business; business sustainability; conflict zones; human development index; multidimensional; peace agreement; public policies","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85212521163"
"Vivas-Barrera, T.G.; González-Gómez, M.I.","Vivas-Barrera, Tania Giovanna (57206200321); González-Gómez, María Isabel (59419237600)","57206200321; 59419237600","Two decades of humanitarian demining in Colombia 2004-2024; Dos décadas de desminado humanitario en Colombia 2004-2024","2025","European Public and Social Innovation Review","10","","","1","17","0","10.31637/epsir-2025-1160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209779335&doi=10.31637%2Fepsir-2025-1160&partnerID=40&md5=02667b23f582b5d8620618aaecaaa301","Introduction: The article provides an overview of Colombia's progress in achieving demining objectives, as part of the international commitments established in the Ottawa Convention, effective since 2001. However, Colombia’s demining efforts officially began in 2004, allowing for a 20-year review of the process. Methodology: A descriptive statistical analysis was conducted using open data available on the Geoportal of the Comprehensive Action against Anti-personnel Mines (AICMA) to evaluate progress through December 2023. Results: The analysis indicates an average annual clearance rate of approximately 1,900,000 m². At this rate, it would take at least 20 more years to clear the estimated 52,000,000 m² of contaminated land in Colombia. Discussion: It is noteworthy that, of the 20 years examined, clearance activity was recorded in only 19. This projection does not account for potential increases in mined areas. Conclusions: Colombia’s demining efforts are progressing steadily, but continued commitment and resources are required to meet long-term objectives, given the current clearance rate and the potential for additional contaminated areas. © 2025, HISIN (History of Information Systems). All rights reserved.","anti-personnel mine; Colombia; FARC (Revolutionary Armed Forces of Colombia); International Humanitarian Law; landmine; Ottawa Convention; prohibited weapons; rules for the conduct of hostilities","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85209779335"
"Anderson, M.J.; Corredor, E.S.; Ulver, J.Z.","Anderson, Miriam J. (8951142100); Corredor, Elizabeth S. (57215882062); Ulver, Julia Z. (59667321600)","8951142100; 57215882062; 59667321600","Rethinking Failure: Feminist Peacebuilding and the Peace Continuum in Violent and Illiberal “Post-Conflict” Settings","2025","Global Studies Quarterly","5","1","ksaf008","","","2","10.1093/isagsq/ksaf008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218171331&doi=10.1093%2Fisagsq%2Fksaf008&partnerID=40&md5=d2ceb2db34c6d68edde9a38b89f028e8","This article introduces the special forum, “Feminism in the Face of Failure: Peacebuilding in Violent and Illiberal ‘Post-Conflict Settings,’” by exploring feminist responses to the shortcomings of both liberal and illiberal peacebuilding models in fragile post-conflict environments. We introduce the concept of a “peace continuum,” challenging traditional binary approaches to peace and conflict. Our framework highlights how grassroots feminist activists, often excluded from formal peace processes, persist in their peacebuilding efforts even amidst renewed violence, authoritarianism, and failed peace agreements. Drawing on examples from countries such as Colombia, Afghanistan, and Myanmar, the forum showcases how women are leading nonmilitarized, inclusive, and locally grounded peace efforts despite the collapse of formal peace processes. The articles collectively emphasize the resilience, intentionality, and ongoing activism of women in reshaping peace, advocating for gender equality, and addressing structural violence in their societies. The issue calls for broader recognition and support for these crucial, often overlooked, feminist peacebuilding efforts, even in situations deemed “failures.” ©C The Author(s) (2025). Published by Oxford University Press on behalf of the International Studies Association.","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218171331"
"Caucci, S.; Guzman-Molina, J.; Al-Qubati, A.; Schellens, M.","Caucci, Serena (55637040800); Guzman-Molina, Jairo (57377086100); Al-Qubati, Abdulhakeem (57988769900); Schellens, Marie Katharine (57204702083)","55637040800; 57377086100; 57988769900; 57204702083","Vulnerability reduction in post-conflict areas through the Resource Nexus approach (Water–Soil-Food-Atmosphere) to sustainable food production systems: a case study in Colombia","2025","Environmental Earth Sciences","84","1","42","","","2","10.1007/s12665-024-12018-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213952485&doi=10.1007%2Fs12665-024-12018-x&partnerID=40&md5=b395e2c0736f9f6ab04f7b9ffae992ea","The prolonged armed conflict in Colombia, spanning over the last five decades, has significantly impacted its agricultural areas and led to the widespread displacement and disruption of farming activities. The agricultural sector is crucial for Colombia as it contributes to food security, the economy, and the Nation’s employment rate. However, the agricultural sector is challenged by the environment and its natural resources, especially water in water abstraction and soil in terms of degradation and land cover change. Additionally, climate change exacerbates these challenges by altering precipitation patterns, increasing the frequency of extreme weather events, and further stressing water and soil resources, making sustainable management even more critical. The Resource Nexus approach comes into play to cope with and mitigate such challenges. Combined with social equity to advance the sustainability of agriculture, the Nexus approach demonstrates pathways towards the achievement of the Sustainable Development Goal (SDG) 2 (Zero Hunger)in synergies with other SDGs, like SDG 5 (Gender Equality), SDG 6 (Clean Water and Sanitation), SDG 10 (Reduced Inequality), SDG 12 (Responsible Consumption and Production), SDG 13 (Climate Action), and SDG 15 (Life on Land). This paper addresses the dual challenge of improving natural resources management and population vulnerability reduction in the frame of environmental conflicts and population inequalities that severely affect the resilience of food systems. In line with principles of inclusion and gender equity, the methodology developed here aims to identify Colombia's productive regions that would benefit from enhanced management at the landscape level, the Resource Nexus approach. With the use of geographic information systems (GIS), this research spatially evaluates the (i) impact of land-use changes and the land-use fragmentation due to resource overuse, (ii) the provision of ecosystem services under different uses of natural resources and suggests ecosystem services planning as a methodology for municipal ecosystem-based management, (iii) climate change and the anthropogenic impacts on agricultural productivity in Colombia at the municipality scale. The results indicate significant environmental changes over the past few decades, including reduced natural forests and increased agricultural land. This shift has coincided with a decrease in freshwater availability. Additionally, there is a concerning trend of agricultural expansion into protected areas, highlighting the ongoing pressures on natural resources and the need for sustainable management practices. This study underscores the value of the science-policy interface to ensure increased social equity, economic growth, and resource conservation. © The Author(s) 2024.","Climate change; Ecosystem services; Nexus; Post-conflict; Productive landscape management","Agricultural sector; Colombia; Ecosystem services; Landscape management; Nexus; Post-conflict; Productive landscape management; Social equity; Sustainable management; Vulnerability reductions; Fertilizers; boundary dispute; climate change; economic growth; ecosystem service; equity; food production; natural resource; vulnerability","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85213952485"
"Johnson, M.F.; Rodríguez, L.A.; Quijano Hoyos, M.","Johnson, McKenzie F. (57202312464); Rodríguez, Luz A. (42062330900); Quijano Hoyos, Manuela (57218999204)","57202312464; 42062330900; 57218999204","Governing after FARC: environmental peacebuilding in Caquetá, Colombia","2025","Journal of Peasant Studies","52","1","","129","156","3","10.1080/03066150.2024.2326577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189637489&doi=10.1080%2F03066150.2024.2326577&partnerID=40&md5=b42e8104024016f1ac118865156b6250","We examine the environment as a mechanism for building substantial integration in Colombia. In environmental peacebuilding, substantial integration is a positive peace dimension characterized by trans-societal links that foster social cohesion. Employing data from the Amazonian Department of Caquetá, we argue that the Government of Colombia is pursuing a peacebuilding approach that impedes opportunities to forge an inclusive social order. Instead, it has forcibly integrated frontier communities to advance an extractive peace that perpetuates longstanding patterns of resource violence. This generates a negative peace or “antagonistic integration” wherein peacebuilding creates trans-societal links without reducing violent conflict or increasing social cohesion. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","Amazon; Colombia; deforestation; Environmental peacebuilding; substantial integration; territorial peace","deforestation; exploitation; frontier region; local government; peacekeeping; social behavior; social inclusion; violence; Caqueta; Colombia","Article","Final","","Scopus","2-s2.0-85189637489"
"Fernandez-Osorio, A.E.; Upadhyaya, S.","Fernandez-Osorio, Andres Eduardo (57202605943); Upadhyaya, Shishir (57132297700)","57202605943; 57132297700","The anatomy of victory in irregular warfare: a multidimensional framework for command","2025","Small Wars and Insurgencies","","","","","","2","10.1080/09592318.2025.2604802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026142021&doi=10.1080%2F09592318.2025.2604802&partnerID=40&md5=2452d5d65b062e4336b9988cc221c136","Defining victory in contemporary irregular warfare is an elusive strategic problem, as traditional metrics based on battlefield outcomes are insufficient in conflicts characterized by ambiguity, asymmetry, and the centrality of the information environment. To address this analytical gap, this article proposes and applies a new multidimensional framework : the model of victory, which posits that success is a function of five interconnected variables: achievement of political aims, degradation of adversary capabilities, internal and external legitimacy, post-conflict sustainability, and narrative resilience. Applying this model to the prolonged internal war in Colombia as well as the hybrid conflict between India and Pakistan, the analysis demonstrates that shaping the narrative often acts as the central variable, enabling actors to manage the conflict and claim victory, regardless of material outcomes. The article further argues that the centrality of narrative creates new paradoxes for command related to transparency, the use of kinetic force, and the fulfillment of political mandates. The framework ultimately provides a more holistic tool for scholars and practitioners to analyze the complex anatomy of victory in the information age. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Command; irregular warfare; narrative resilience; strategic communication; victory","","Article","aip","","Scopus","2-s2.0-105026142021"
"Morales-Fontanilla, J.A.; Pardo Pedraza, D.","Morales-Fontanilla, Julia Alejandra (57210944064); Pardo Pedraza, Diana (57218764746)","57210944064; 57218764746","Time and the remains of war: Retazos of morgues and minefields in Colombia","2025","Ethnography","","","","","","0","10.1177/14661381251398283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022190354&doi=10.1177%2F14661381251398283&partnerID=40&md5=370b013d06eba4e3ae448727743abaf1","Recently, the Army and FARC-EP guerrillas widely deployed aerial bombardment and improvised landmines in Colombia as warfare technologies to control territories and contain adversaries. These devices kill and mutilate bodies, and penetrate and scar landscapes. What can explosive military technologies and their aftermath tell us about how morgue doctors, demining surveyors, and campesinos sense and temporalize the materiality of war? This paper is a collaborative ethnographic exploration of retazos—stories that we craft out of the explosive-related fragments we collected and produced from our separate fieldworks: state morgues and minefields. We offer two pairs of retazos that illustrate how these practitioners developed corporeal sensitivities to feel and give meaning to the material traces of war and how these materialities and the ways they are experienced are shaped by temporal configurations. These retazos show how people and their environments endure war, live despite the war, and make life out of war. © The Author(s) 2025","Colombia; embodiment; ethnography; Explosive violence; warfare","","Article","aip","","Scopus","2-s2.0-105022190354"
"Baron-Mendoza, L.","Baron-Mendoza, Laura (57226503529)","57226503529","The FARC-EP as environmental governance actors: shifting the ecological perspective on war","2025","International Journal of Law in Context","","","","","","0","10.1017/S1744552325100256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020981302&doi=10.1017%2FS1744552325100256&partnerID=40&md5=2ad6c0d2564df711d7a2f41586a5f680","Environmental protection is widely considered a core function of the state. Yet more than 210 million people currently live under the control of armed non-state actors (ANSAs), many of whom exercise state-like authority over vast, environmentally important territories. Despite growing legal and political science scholarship on ANSAs, their role in environmental protection remains largely unexplored. International law, shaped by conflict-centric frameworks, often fails to account for ANSAs’ non-military dimensions – especially those related to environmental service provision. Similarly, theories of rebel governance have yet to meaningfully incorporate environmental service provision as a governance facet. The article addresses this gap by examining the Revolutionary Armed Forces of Colombia – People’s Army (FARC-EP) in Colombia, drawing on documentary analysis and interviews with former combatants. It shifts the limited ecological perspective on war, arguing that the FARC-EP’s environmental practices amounted to a form of rebel environmental governance – structured, intentional and legally plural. Through this case study, the article challenges dominant narratives that view ANSAs solely as environmental spoilers or incidental protectors and instead advocates for a more comprehensive understanding of their impact as environmental service providers and lawmakers. In doing so, the paper reframes ANSAs as socio-legal actors whose environmental practices merit scholarly attention – particularly in ongoing debates around accountability and transitional justice in conflict-affected regions. © The Author(s), 2025. Published by Cambridge University Press.","armed non-state actors; environmental protection; legal pluralism; otherness; Rebel governance","","Article","aip","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020981302"
"Lombo Caicedo, J.C.; Durán-Sabogal, R.M.; Palacio-Abello, J.D.; Lamus-Lemus, F.","Lombo Caicedo, Jadith Cristina (55886100300); Durán-Sabogal, Rosa Margarita (57193957844); Palacio-Abello, Juan Domingo (60076774200); Lamus-Lemus, Francisco (55603094000)","55886100300; 57193957844; 60076774200; 55603094000","Intervention to strengthen caregiving capacities among rural caregivers: a replicable model","2025","Frontiers in Medicine","12","","1613937","","","0","10.3389/fmed.2025.1613937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014512096&doi=10.3389%2Ffmed.2025.1613937&partnerID=40&md5=4ccadee6fd2b0edb307a6fff3144757e","Introduction: Decades of armed conflict in Colombia have deeply undermined public trust in the health system, particularly within rural regions. The legacy of violence has restricted healthcare delivery in these areas, concentrating services in urban centers and exacerbating geographic and social inequities. Informal caregivers in rural communities, essential yet often overlooked actors in healthcare, face significant challenges due to structural limitations and lack of institutional support. Objective: This study evaluates a community-based intervention aimed at strengthening the competencies of informal caregivers in rural, post-conflict settings. It further positions caregivers as pivotal contributors to distributed health education models, where care practices must adapt to contextual barriers and local realities. Methods: Developed using a Participatory Action Research (PAR) approach, the intervention engaged caregivers as co-creators. Drawing from popular education principles, it combined in-person sessions with experiential, culturally relevant materials tailored to rural environments. Ongoing remote support was provided via calls, text messages, and voice notes. The program was evaluated qualitatively through a focus group and 15 semi-structured interviews, analyzed thematically. Results: Findings revealed four key domains of change: (1) transformation of the caregiving role, (2) personal and technical impact on caregivers, (3) shifts in family dynamics, and (4) recognition of the course as an empowering, community-building experience. Despite barriers such as digital illiteracy, poverty, and low educational attainment, participants demonstrated increased self-efficacy and engagement. Conclusion: The intervention illustrates the potential of distributed education to reduce rural health inequities. It highlights the power of academic-community partnerships in developing scalable, context-sensitive strategies that strengthen care, foster empowerment, and promote equity in underserved areas. © © 2025 Lombo-Caicedo, Durán-Sabogal, Palacio-Abello and Lamus-Lemus.","caregiver empowerment; community engagement; distributive education; participatory educational intervention; popular health education; rural healthcare","adult; aged; Article; care behavior; controlled study; female; health care delivery; health education; home visit; human; human experiment; informal caregiver; male; normal human; participatory action research; qualitative analysis; rural area; semi structured interview; social inequality; wound care","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014512096"
"Alarcón-Tobón, S.","Alarcón-Tobón, Santiago (57776930400)","57776930400","The Laden River: Ignacio Piedrahita’s Geological Stories of the Magdalena River","2025","Biblioteca di Rassegna Iberistica","39","","","43","60","0","10.30687/978-88-6969-906-1/003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008408203&doi=10.30687%2F978-88-6969-906-1%2F003&partnerID=40&md5=226732f3f30b8062eec282957877e1b1","The Magdalena River, considered the backbone of Colombia, carries a multitude of material stories through its waters. Ignacio Piedrahita’s work, particularly in his travel diary Grávido río (2019) and the essay La verdad de los ríos (2020), emphasizes the Magdalena not only as a geological agent that shapes the Earth’s surface through erosion and sediment deposition, but also as a product of human intervention. This perspective not only revalues the river as an active force in Colombia’s reality – its agency and interconnectedness –, but also suggests, as Piedrahita does, the importance of the stories that the Magdalena tell us in the post-peace agreement context. In this regard, the river geological stories become a key element in reimagining social and environmental relations in Colombia. © 2025 Alarcón-Tobón.","Blue Humanities; Ecocriticism; Geological Writing; Grávido Río; Ignacio Piedrahita; Magdalena River; Non-human agency","","Book chapter","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008408203"
"Suárez, Y.A.A.; Forero, L.S.; Vásquez, J.L.C.","Suárez, Yesika Alejandra Ayala (58618895000); Forero, Lorena Sotelo (57226316098); Vásquez, José Luis Cruz (58618895100)","58618895000; 57226316098; 58618895100","Land adjudication in Territories with Territorially Focused Development Programs, Colombia; Adjudicación de tierras en territorios con programas de desarrollo con enfoque territorial, Colombia","2025","Revista de Economia e Sociologia Rural","63","","e291178","","","1","10.1590/1806-9479.2025.291178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003843794&doi=10.1590%2F1806-9479.2025.291178&partnerID=40&md5=cc0faba38d2b5362f6be876c1304cc84","The land adjudication process in Colombia has provided for a wide range of mechanisms to organize the rural territory, take advantage of its productive capacity and improve the well-being of its inhabitants. However, these actions have not had an impact on the rural population and the organization of the territory. The objective of this article is to interpret the process of land adjudication during the Peace Process in territories prioritized with Development Programs with a Territorial Approach. A mixed methodology was used, employing techniques such as frequency analysis and multiple correspondence analysis, through the study of the departments of Guaviare, Putumayo and Bolivar. It is evident that the land adjudication process in Colombia within the framework of the Peace Accords is incipient and presents flaws in its execution. However, it should be noted that the target population of agrarian reforms in Colombia are peasants, and this process has benefited excluded population groups such as victims and displaced persons. Achieving structural changes to this problem in Colombia requires institutional commitment and a broader spectrum of time that leads to evidence of the effects of deconcentration of land and social welfare of the rural population in Colombia. © (2025), (Sociedade Brasileira de Economia e Sociologia Rural). All rights reserved.","acuerdos de paz; agrarian reform; campesinos; Colombia; Colombia; comprehensive rural reform; medio rural; peace agreements; peasants; reforma agraria; reforma rural integral; rural areas","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003843794"
"Hernanz, V.; Quiroga, S.; Suarez, C.; Aguiño, J.E.","Hernanz, Virginia (6506875814); Quiroga, Sonia Gómez (24333297700); Suarez, Cristina Gálvez (36143433200); Aguiño, José Evelio (58030272900)","6506875814; 24333297700; 36143433200; 58030272900","Exploring the role of community organisations as environmental vulnerability insurance for cacao smallholders in Colombia","2024","Journal of Cleaner Production","485","","144371","","","2","10.1016/j.jclepro.2024.144371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211156849&doi=10.1016%2Fj.jclepro.2024.144371&partnerID=40&md5=d56e7cb916880802e326dcc1ef659cc5","The future of replacing illicit crops with cacao in the South Pacific region of Colombia transcends the economic viability of these plantations. The process of social-ecological restoration is intrinsically linked to the role of local organisations and the support of international non-governmental organisations (NGOs), which introduce the main technical improvements conditional on the achievement of social improvements. The situation in the South Pacific region of Colombia, a territory historically characterised by illicit crop cultivation and inhabited by vulnerable Afro-Colombian communities, is analysed. This region is particularly significant for post-conflict agreements due to its high level of violence. This study analyses the determinants of differences in the selling price of cacao, assuming that the decision to sell dry cacao and access international markets is related to the support and assistance provided to farmers and their families than to their monetary value. The sustainable production of high-quality dry cacao, which is a main requirement for accessing international market prices, depends on access to adequate infrastructure. Inadequate access to high-quality production neutralises the substitution of illicit crops, and thus the environmental sustainability and social cohesion of the territory. The determinants of farmers’ ability to sell dry cacao are explored using a spatial econometric model that accounts for the influence of neighbouring areas. The findings indicate that enhancing producers' participation in community councils, supported by international NGOs, is crucial for addressing environmental risks. © 2024 The Author(s)","Cacao smallholders; Community organisations; Environmental economics; Equitable price; Illicit crops substitution; Sustainable development","Cleaner production; 'Dry' [; Cacao smallholder; Colombia; Community organizations; Environmental economics; Equitable price; High quality; Illicit crop substitution; International markets; Nongovernmental organizations","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85211156849"
"Castellanos, A.; Jiménez, L.; Alvarado-Quintero, J.J.","Castellanos, Alexander Alegría (35955770600); Jiménez, Laura (57195407789); Alvarado-Quintero, Jhon Jairo (59654701900)","35955770600; 57195407789; 59654701900","Ecological Niches Applied to Socioeconomic Phenomena: The Case of the Colombian Internal Conflict","2024","Peace and Conflict Studies","31","1","3","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218914314&partnerID=40&md5=c4815b9c35cb5a54c7394ae5170d04b5","Recent studies of the Colombian conflict have shown that struggle for resource accumulation and territorial control, in a very competitive and violent environment in which the illegal armed groups are involved, is crucial to their survival and development. Here, we applied a highly successful methodology from ecology (Ecological Niche Modelling) to the problem of identifying the ideal socioeconomic conditions for the presence of a Colombian illegal armed group, named the Revolutionary Armed Forces of Colombia (FARC). We analyzed some determining factors of FARC´s presence and permanence within the Colombian territory that reflect aspects of the socioeconomic dynamics and productive capacity at the municipality level. We found that regions with high suitability for the persistence of the FARC (those belonging to the niche) had a fiscal performance index considered as vulnerable and low per capita income levels. Additionally, to identify territories in dispute between armed groups, we compared territories with the presence of both the United Self-Defense Forces of Colombia (AUC) and the FARC. Our results show that the number of municipalities with suitable conditions for the persistence of the FARC was considerably lower following the signing of the Peace Agreement between the Colombian government and the FARC. © 2024 Peace and Conflict Studies. All rights reserved.","FARC; geographical distribution; geopolitics; illegal armed groups; strategic territories","","Article","Final","","Scopus","2-s2.0-85218914314"
"Samper, J.A.; Krause, T.; López, J.","Samper, Juan Antonio (57223217105); Krause, Torsten (55804333700); López, Jesica Murcia (57263930000)","57223217105; 55804333700; 57263930000","“Everyone decided to declare war on the forest”: between territorial peace and pacification in the Colombian Andean-Amazon","2024","Ecology and Society","29","4","46","","","3","10.5751/ES-15589-290446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214426819&doi=10.5751%2FES-15589-290446&partnerID=40&md5=413da5fe51e776cdd6bb5299f141fce4","In post-peace agreement Colombia, everyone declared war on the forest. In the Putumayo region, these wars take their own particular forms. Scientifically, the Putumayo is described as an Andean-Amazonic rainforest. For the indigenous and local inhabitants of the Putumayo, it is the Andean-Amazonic selva. We present three wars on the forest with material and discursive specificities and critically distinguish those that inherently involve violence from the ones that do not. We draw on a mix of empirical material to analyze how the wars on the forest have manifested in the Andean-Amazon. We find that both deforestation and the responses to combat it are two wars on the forest with one thing in common: violence. We also find that the selva is a territorialized political proposal with its own discursive and material elements. Drawing on the concept of territorial peace, we discuss the ambivalence of peacebuilding in relation to violence because it both legitimizes the continuation of violent wars on the forest while providing openings for territorial defense projects. This approach provides analytical avenues to observe the differences between peace and pacification. We contend that violence is incompatible with peace but not with pacification. Further, peace and pacification efforts can coexist under the discursive guise of peacebuilding. We show that peace requires the absence of violence but cannot be defined as the absence of violence alone, for such an understanding cannot distinguish a peaceful context’s territorial relations from those of a pacified context. © 2024 by the author(s).","deforestation; environmental defenders; mining; Putumayo; violence","deforestation; mining; peace process; territorial dispute; violence; Amazonas [Colombia]; Andes; Colombia; Putumayo","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85214426819"
"Ayres, C.; Vega, J.; Arroyave, J.","Ayres, Cássia (59493365700); Vega, Jair (55618570600); Arroyave, Jesús Antonio (57218461329)","59493365700; 55618570600; 57218461329","Social Movements, Social Change, and International Cooperation: Strategic Insights from Latin America and the Caribbean","2024","Social Sciences","13","12","639","","","1","10.3390/socsci13120639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213526916&doi=10.3390%2Fsocsci13120639&partnerID=40&md5=eaf08b6e33d64b6644622da3afa14b74","In the wake of the advancements made in civil and human rights in the twentieth century, social movements have come to be regarded as a driving force behind social change. Nevertheless, evidence demonstrates that social transformations driven by certain citizen mobilisations do not always prove beneficial to the most marginalised groups. In January 2023, acts of vandalism were perpetrated against the buildings of public institutions in Brasilia. Similarly, anti-democratic mobilisations have been observed in Colombia against the peace agreement with the FARC and in Chile against the proposed more inclusive constitution. Globally, anti-democracy and other movements that are in opposition to human rights are gaining ground, and their effects are having a detrimental impact on the environment in which organisations that are advocating for excluded sectors are operating. However, Latin American perspectives of social and behaviour change (SBC) emphasise engagement with social movements to contribute to social justice, creating alliances to amplify the voices of those most affected without interfering with the organic nature of citizen-led movements. This prompts the following inquiries: Can we categorize as social movements those with popular roots but espousing hegemonic interests? How can the Latin American tradition of social movement action and reflection inform strategies for social change? How can SBC strategies counteract anti-human rights movements and empower social movements prone to inclusion? This essay addresses these questions. © 2024 by the authors.","anti-rights movements; communication for social change; international cooperation; Latin America and the Caribbean; social and behaviour change (SBC); social movements","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85213526916"
"Leon, J.; Bedoya, D.; Valbuena-Gaona, M.","Leon, Javier (59490327900); Bedoya, Diego (59490328000); Valbuena-Gaona, Martha P. (59351780500)","59490327900; 59490328000; 59351780500","Automatic Boundary Extraction from RADAR Images Using Artificial Intelligence Techniques","2024","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","48","3","","295","300","1","10.5194/isprs-archives-XLVIII-3-2024-295-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213339260&doi=10.5194%2Fisprs-archives-XLVIII-3-2024-295-2024&partnerID=40&md5=e683d91b71e56e7c87b2b98b74e4731f","The extraction of land boundaries from SAR images plays a pivotal role in advancing peace processes and comprehensive rural reform in Colombia, this article explores the application of artificial intelligence (AI) techniques to automate boundary extraction, emphasising its significance in the context of Colombia’s ongoing efforts to resolve land disputes and promote rural development, Traditional methods of delimitation are often time - consuming and prone to human error, by leveraging AI, specifically machine learning algorithms, we can achieve precise and efficient boundary extraction, reducing the need for extensive manual intervention, this automatization facilities accurate land registry updates, which are essential for fair land distribution and the resolution of territorial conflicts. © Author(s) 2024. CC BY 4.0 License.","Automatic Extraction; Machine Learning; Multipurpose Cadaster; Peace Agreement; Rural Reform; SAR","Adversarial machine learning; Machine learning; Artificial intelligence techniques; Automatic extraction; Boundary extraction; Colombia; Machine-learning; Multipurpose cadaster; Peace agreements; Peace process; Rural reform; SAR Images; Radar imaging","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85213339260"
"Loaiza, L.P.; Rodriguez, Á.C.","Loaiza, Laura Pinilla (60337313800); Rodriguez, Ángel Castañeda (60337662300)","60337313800; 60337662300","Post-peace agreement and its impact on the urban transformation of Gaitania, Colombia; Post-acuerdo de paz y su incidencia en la transformación urbana de Gaitania, Colombia","2024","Cidades","","49","","204","223","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027777279&partnerID=40&md5=2040cbb15993b57fb44c5d0d5ef9b4fa","The signing and implementation of the Peace Agreements between the Colombian Government and the Revolutionary Armed Forces of Colombia have generated impacts in Colombian territory. Particularly, we found significant changes in territorial ordering, demographic dimension, land use, roads and infrastructure of public services of the 16 subregions, 170 municipalities and 11,000 villages prioritized by the Development Programs with a Territorial Approach, planning, ordering and management instruments. of resources within the framework of the Comprehensive Rural Reform. The article analyzes the influence of the post-peace agreement on the physical-spatial transformations of the township of Gaitania, Colombia. It is proposed that, through the application of surveys, documentary research of primary and secondary sources and field work, it is possible to generate an analysis of a physical, social and economic nature. The results indicate a process of urban consolidation, with an increase in the mix of uses and high-rise construction, as well as improvements in infrastructure and services. Finally, the limitations related to the scarcity of data and studies in small populated centers and the importance of analyzing this type of urban phenomena in the Colombian post-conflict context are highlighted. © 2024: Author(s). Licensed under CC BY-NC-ND","acuerdo de paz; armed conflict; conflicto armado; estudios urbanos; peace agreement; transformación urbana; urban studies; urban transformation","","Article","Final","","Scopus","2-s2.0-105027777279"
